state,county,inf_rate,mrt_rate,Density_per_square_mile_of_land_area_Population,Perct_Total_age0to17,Perct_Total_age18to64,Perct_Total_age65plus,Perct_Total_age85plus,ICU_Beds
Alabama,Autauga,0.0,0.0,91.8,23.67403464,60.76329562,15.56266974,1.566518588,6
Alabama,Baldwin,2.38,8.0,114.6,21.60791113,57.94873912,20.44334975,1.974112704,51
Alabama,Barbour,0.0,0.0,31.0,20.86732848,59.71223022,19.4204413,1.897029862,5
Alabama,Bibb,0.0,0.0,36.8,20.47767857,63.04910714,16.47321429,1.620535714,0
Alabama,Blount,0.0,0.0,88.9,23.15352697,58.60995851,18.23651452,1.784232365,6
Alabama,Bullock,0.0,0.0,17.5,21.07910831,62.53698954,16.38390215,1.81495364,0
Alabama,Butler,0.0,0.0,27.0,22.24593496,57.45426829,20.29979675,2.972560976,7
Alabama,Calhoun,0.67,0.0,195.7,21.60977275,60.6727513,17.71747596,1.847265854,24
Alabama,Chambers,0.83,3.0,57.4,20.80023799,59.67871486,19.52104715,2.228171947,0
Alabama,Cherokee,0.0,0.0,46.9,19.16871543,57.85955747,22.97172711,2.059004302,0
Alabama,Chilton,0.0,0.0,63.0,23.76055987,59.45462369,16.78481643,1.7416710080000002,6
Alabama,Choctaw,0.0,0.0,15.2,19.99065493,57.01269372,22.99665135,2.749007087,0
Alabama,Clarke,0.0,0.0,20.9,21.71822742,58.41137124,19.87040134,2.474916388,0
Alabama,Clay,0.0,0.0,23.1,20.24858757,59.02824859,20.72316384,2.350282486,4
Alabama,Cleburne,0.0,0.0,26.7,22.76639754,57.78341229,19.45019016,2.261960366,0
Alabama,Coffee,0.0,0.0,73.6,23.65678399,59.38854534,16.95467067,1.868654761,7
Alabama,Colbert,0.0,0.0,91.8,20.76257259,59.30754903,19.92987838,2.348343742,22
Alabama,Conecuh,0.0,0.0,15.6,20.77054655,56.73210068,22.49735277,2.647226521,0
Alabama,Coosa,0.0,0.0,17.7,16.58422772,60.26131591,23.15445637,2.519832011,0
Alabama,Covington,0.0,0.0,36.6,21.87043746,57.06753907,21.06202347,2.646947494,13
Alabama,Crenshaw,0.0,0.0,22.8,22.8587963,58.12355324,19.01765046,2.191840278,0
Alabama,Cullman,0.42,-4.0,109.4,22.47908727,59.00985115,18.51106158,1.737733995,12
Alabama,Dale,0.0,0.0,89.6,22.97369066,60.13358935,16.89271999,1.834300188,6
Alabama,Dallas,0.0,0.0,44.8,23.80840512,58.12581571,18.06577917,1.829809449,18
Alabama,DeKalb,0.0,0.0,91.5,24.07788751,58.66078308,17.26132941,1.690831407,12
Alabama,Elmore,3.63,0.0,128.2,22.23918326,62.61799797,15.14281876,1.4214710519999998,5
Alabama,Escambia,0.0,0.0,40.5,22.36584304,59.68488081,17.94927615,1.85860455,14
Alabama,Etowah,0.0,0.0,195.2,21.46027844,59.52819972,19.01152184,1.934615272,56
Alabama,Fayette,0.0,0.0,27.5,21.12821761,57.74356478,21.12821761,2.069007485,12
Alabama,Franklin,0.0,0.0,50.0,24.53528043,58.57857986,16.88613972,1.801485827,7
Alabama,Geneva,0.0,0.0,46.6,21.91989055,57.78292924,20.29718021,2.196549365,6
Alabama,Greene,0.0,0.0,14.0,22.16688935,55.52046642,22.31264424,2.927244018,0
Alabama,Hale,0.0,0.0,24.5,23.04767079,57.74140975,19.21091946,2.376748608,0
Alabama,Henry,0.0,0.0,30.8,20.61130804,56.66802255,22.72066942,2.458016154,0
Alabama,Houston,0.0,0.0,175.1,23.03240962,59.16903802,17.79855236,1.945150016,66
Alabama,Jackson,2.26,0.0,49.4,20.88680996,59.06332148,20.04986856,1.849775785,10
Alabama,Jefferson,0.53,2.666666667,592.5,22.762172,61.38055513,15.85727287,2.038980737,471
Alabama,Lamar,0.0,0.0,24.1,21.38832707,56.95608206,21.65559087,2.354810748,0
Alabama,Lauderdale,0.47,0.0,138.8,19.6651044,60.24224187,20.09265373,2.267635057,48
Alabama,Lawrence,0.0,0.0,49.7,21.58873684,59.74754984,18.66371332,1.693115271,6
Alabama,Lee,1.16,3.0,230.8,21.28387652,66.83318999,11.88293349,1.098565948,28
Alabama,Limestone,0.33,0.0,147.8,22.55911161,62.25175203,15.18913636,1.446336848,10
Alabama,Lowndes,0.0,0.0,15.8,22.6188089,58.53218368,18.84900742,2.155604572,0
Alabama,Macon,0.0,0.0,35.2,16.90981073,62.72032106,20.36986821,2.3048972290000003,0
Alabama,Madison,0.24,1.333333333,417.7,21.81769567,63.14215634,15.04014799,1.697865595,100
Alabama,Marengo,0.0,0.0,21.5,22.73680898,57.66285534,19.60033568,2.674918703,5
Alabama,Marion,0.57,2.666666667,41.5,20.77411551,57.98810604,21.23777845,2.355273326,4
